caller,caller_wf_fg,caller_layer,callee,callee_wf_fg,callee_layer,type,conditional,contract_basis,purpose
AuditActivity,FG-06,0,IdentityAccess,FG-03,0,S,no,INT-023; ICD-12; BE-002,Authorize action / scope / relationship / assignment / state / sensitivity for every protected operation
AuditActivity,FG-06,0,IntegrationMonitoring,FG-05,0,E,no,INT-024; INT-029; CSB-14A §13; EVT-024,"Adapter / runtime telemetry: invocation, sync run, queue, dead letter, reconciliation, audit-infrastructure signals · Audit infrastructure health / lag / integrity signals"
AuditActivity,FG-06,0,MasterDataConfig,FG-04,0,S,no,INT-022; ICD-13; BE-004; CSB-14A §9,"ResolveConfiguration(configType, businessContext, effectiveDate); pin applied version"
AuditActivity,FG-06,0,Notifications,WF-15,1,E,no,INT-018; ICD-09; BE-021; CSB-14A §11; EVT-024,Emit typed NotificationIntent after durable commit (FG-03 per CSB-FG-03 US-IAM-PFM-010/DM-011/LIA-006/007/EXT-007; FG-05 INT-025; FG-06 EVT-024; FG-02 EVT-019; WF-11/WF-12 per CSB-BP2 §11/§13) · AuditIntegrityFailure / AuditIndexRecovered
IdentityAccess,FG-03,0,AuditActivity,FG-06,0,E,no,INT-026; ICD-15; BE-007; EVT-020,Publish durable typed AuditEvent for material business / admin / security actions · AccessGranted / AccessRevoked → authorization-cache invalidation; WF-11 inactive-assignee handling (CSB-FG-03 US-IAM-SYS-040)
IdentityAccess,FG-03,0,IntegrationMonitoring,FG-05,0,E,no,INT-024; INT-029; CSB-14A §13; EVT-020,"Adapter / runtime telemetry: invocation, sync run, queue, dead letter, reconciliation, audit-infrastructure signals · AccessGranted / AccessRevoked → authorization-cache invalidation; WF-11 inactive-assignee handling (CSB-FG-03 US-IAM-SYS-040)"
IdentityAccess,FG-03,0,MasterDataConfig,FG-04,0,E,no,EVT-020,AccessGranted / AccessRevoked → authorization-cache invalidation; WF-11 inactive-assignee handling (CSB-FG-03 US-IAM-SYS-040)
IdentityAccess,FG-03,0,Approval,WF-11,1,E,no,EVT-020,AccessGranted / AccessRevoked → authorization-cache invalidation; WF-11 inactive-assignee handling (CSB-FG-03 US-IAM-SYS-040)
IdentityAccess,FG-03,0,DocumentManagement,WF-12,1,E,no,EVT-020,AccessGranted / AccessRevoked → authorization-cache invalidation; WF-11 inactive-assignee handling (CSB-FG-03 US-IAM-SYS-040)
IdentityAccess,FG-03,0,Notifications,WF-15,1,E,no,INT-018; ICD-09; BE-021; CSB-14A §11; EVT-020,Emit typed NotificationIntent after durable commit (FG-03 per CSB-FG-03 US-IAM-PFM-010/DM-011/LIA-006/007/EXT-007; FG-05 INT-025; FG-06 EVT-024; FG-02 EVT-019; WF-11/WF-12 per CSB-BP2 §11/§13) · AccessGranted / AccessRevoked → authorization-cache invalidation; WF-11 inactive-assignee handling (CSB-FG-03 US-IAM-SYS-040)
